"","VALUE","COUNT","CLASSNAMES","acres","hectare","rel_percent","RED","GREEN","BLUE","R","G","B"
"97",342,224,"Herb Cover = 42%",49.8164008638797,20.16,0.055911659577867,1,0.631373,0.258824,"255","161","66"
"98",341,202,"Herb Cover = 41%",44.9237186361772,18.18,0.0504203358693265,1,0.635294,0.270588,"255","162","69"
"99",340,179,"Herb Cover = 40%",39.808641761761,16.11,0.0446794065376705,1,0.635294,0.270588,"255","162","69"
"100",133,173,"Tree Cover = 33%",38.4742738814785,15.57,0.0431817727989776,0.521569,0.788235,0.356863,"133","201","91"
"101",372,160,"Herb Cover = 72%",35.5831434741998,14.4,0.0399368996984764,1,0.419608,0.129412,"255","107","33"
"102",132,153,"Tree Cover = 32%",34.0263809472035,13.77,0.0381896603366681,0.533333,0.8,0.368627,"136","204","94"
"103",23,152,"Developed-Medium Intensity",33.8039863004898,13.68,0.0379400547135526,0.992157,0.172549,0.309804,"253","44","79"
"104",339,145,"Herb Cover = 39%",32.2472237734935,13.05,0.0361928153517442,1,0.65098,0.278431,"255","166","71"
"105",338,134,"Herb Cover = 38%",29.8008826596423,12.06,0.033447153497474,1,0.65098,0.278431,"255","166","71"
"106",14,127,"Developed-Upland Evergreen Forest",28.244120132646,11.43,0.0316999141356656,0.266667,0.309804,0.537255,"68","79","137"
"107",337,119,"Herb Cover = 37%",26.4649629589361,10.71,0.0297030691507418,1,0.654902,0.290196,"255","167","74"
"108",131,106,"Tree Cover = 31%",23.5738325516573,9.54,0.0264581960502406,0.541176,0.811765,0.372549,"138","207","95"
"109",336,95,"Herb Cover = 36%",21.1274914378061,8.55,0.0237125341959704,1,0.670588,0.290196,"255","171","74"
"110",130,91,"Tree Cover = 30%",20.2379128509511,8.19,0.0227141117035085,0.560784,0.819608,0.384314,"143","209","98"
"111",334,90,"Herb Cover = 34%",20.0155182042374,8.1,0.022464506080393,1,0.67451,0.301961,"255","172","77"
"112",335,73,"Herb Cover = 35%",16.2348092101036,6.57,0.0182212104874299,1,0.67451,0.301961,"255","172","77"
"113",332,59,"Herb Cover = 32%",13.1212841561112,5.31,0.0147267317638132,1,0.690196,0.309804,"255","176","79"
"114",333,55,"Herb Cover = 33%",12.2317055692562,4.95,0.0137283092713513,1,0.678431,0.309804,"255","173","79"
"115",129,54,"Tree Cover = 29%",12.0093109225424,4.86,0.0134787036482358,0.564706,0.819608,0.392157,"144","209","100"
"116",128,43,"Tree Cover = 28%",9.56296980869118,3.87,0.0107330417939655,0.572549,0.831373,0.4,"146","212","102"
"117",214,40,"Shrub Cover = 14%",8.89578586854994,3.6,0.0099842249246191,0.819608,0.666667,0.466667,"209","170","119"
"118",212,39,"Shrub Cover = 12%",8.67339122183619,3.51,0.00973461930150362,0.831373,0.686275,0.482353,"212","175","123"
"119",326,31,"Herb Cover = 26%",6.8942340481262,2.79,0.0077377743165798,1,0.72549,0.341176,"255","185","87"
"120",213,30,"Shrub Cover = 13%",6.67183940141245,2.7,0.00748816869346433,0.831373,0.682353,0.47451,"212","174","121"
"121",328,30,"Herb Cover = 28%",6.67183940141245,2.7,0.00748816869346433,1,0.709804,0.329412,"255","181","84"
"122",64,29,"NASS-Row Crop",6.4494447546987,2.61,0.00723856307034885,0.980392,1,0.466667,"250","255","119"
"123",215,29,"Shrub Cover = 15%",6.4494447546987,2.61,0.00723856307034885,0.819608,0.658824,0.458824,"209","168","117"
"124",331,29,"Herb Cover = 31%",6.4494447546987,2.61,0.00723856307034885,1,0.690196,0.309804,"255","176","79"
"125",330,28,"Herb Cover = 30%",6.22705010798496,2.52,0.00698895744723337,1,0.694118,0.321569,"255","177","82"
"126",329,26,"Herb Cover = 29%",5.78226081455746,2.34,0.00648974620100242,1,0.705882,0.321569,"255","180","82"
"127",127,23,"Tree Cover = 27%",5.11507687441621,2.07,0.00574092933165598,0.588235,0.839216,0.411765,"150","214","105"
"128",327,23,"Herb Cover = 27%",5.11507687441621,2.07,0.00574092933165598,1,0.709804,0.329412,"255","181","84"
"129",126,22,"Tree Cover = 26%",4.89268222770247,1.98,0.00549132370854051,0.603922,0.85098,0.423529,"154","217","108"
"130",210,21,"Shrub Cover = 10%",4.67028758098872,1.89,0.00524171808542503,0.831373,0.698039,0.490196,"212","178","125"
"131",325,21,"Herb Cover = 25%",4.67028758098872,1.89,0.00524171808542503,1,0.72549,0.341176,"255","185","87"
"132",125,20,"Tree Cover = 25%",4.44789293427497,1.8,0.00499211246230955,0.607843,0.858824,0.431373,"155","219","110"
"133",232,17,"Shrub Cover = 32%",3.78070899413372,1.53,0.00424329559296312,0.788235,0.537255,0.380392,"201","137","97"
